,ID,KDA,参团,输出,承伤,发育
33,GK.鹏鹏,5.652173913043478,7.640918580375783,7.409287740779454,4.85461048048515,9.240669240669241
34,TTG.XQ.冰尘,5.652173913043478,6.670146137787056,2.211437957294311,8.29575493702379,5.289575289575289
35,WE.小新,5.652173913043478,6.9206680584551155,4.7080782439898465,6.523091276628829,8.687258687258687
36,TS.暖阳,5.507246376811594,7.087682672233821,4.48857697476482,6.261856631939045,9.047619047619047
37,Hero.诺龙,5.507246376811594,8.006263048016702,6.434224279528147,4.440988959726326,8.79021879021879
38,TS.千世,5.507246376811594,7.494780793319416,7.922950574884276,4.189084123775463,7.323037323037323
39,Hero.久酷,5.507246376811594,8.100208768267224,7.0524115275496495,4.644689783859431,8.803088803088803
40,QGhappy.末将,5.507246376811594,7.453027139874739,6.719426608929371,4.15642979318924,7.4646074646074645
41,YTG.晨晨,5.36231884057971,7.755741127348643,7.062863968941317,4.877935002332452,9.124839124839125
42,QGhappy.Hu...,5.36231884057971,7.118997912317328,6.852321935194864,4.845280671746229,9.00900900900901
43,TES.花卷,5.36231884057971,7.223382045929019,7.047931909810363,3.823666614834396,7.413127413127413
44,AG超玩会.七年,5.36231884057971,5.845511482254698,5.114230252351799,5.7673767687762405,8.893178893178893
45,GK.百兽,5.217391304347826,5.897703549060543,4.119755114230252,5.887109314259058,8.674388674388675
46,QGhappy.向鱼,5.217391304347826,7.609603340292276,6.365536807525758,3.719483750583113,6.988416988416988
47,EDGM.旧梦,5.0724637681159415,7.661795407098121,8.2410034343736,4.058466801430571,7.181467181467181
48,TS.阿豆,5.0724637681159415,6.8684759916492695,1.9411676870240406,7.131083812781838,5.289575289575289
49,DYG.清清,4.927536231884058,6.043841336116911,5.182917724354189,7.044005597885243,8.674388674388675
50,TS.神人,4.927536231884058,5.93945720250522,2.90876511870987,7.183952728969056,7.271557271557271
51,eStarPro.花...,4.782608695652174,7.44258872651357,6.8448559056293865,5.887109314259058,9.202059202059202
52,YTG.晴一,4.782608695652174,7.849686847599165,7.56010153800209,4.293266988026746,7.4517374517374515
53,RNGM.晚秋,4.63768115942029,6.9206680584551155,4.519934298939824,5.83424039807184,8.532818532818533
54,DYG.湘军,4.63768115942029,6.9728601252609606,3.2731073615051516,8.143368060954751,6.962676962676962
55,eStarPro.无...,4.63768115942029,7.494780793319416,6.704494549798417,4.622920230135282,7.361647361647361
56,QGhappy.Fl...,4.492753623188405,5.741127348643007,3.561296102732567,6.129684341471,8.404118404118405
57,LGD大鹅.君诏,4.492753623188405,6.043841336116911,3.852471255786173,9.362463069507076,7.657657657657658
58,YTG.小壳,4.492753623188405,6.158663883089771,4.109302672838584,6.398693826776551,8.223938223938225
59,QGhappy.许诺,4.492753623188405,7.317327766179541,1.6186352097954309,8.681387031565853,4.954954954954955
60,EDGM.伪装,4.3478260869565215,7.066805845511483,5.651784381066149,3.3773907634893483,6.525096525096525
61,TTG.XQ.绑兔,4.3478260869565215,6.9415448851774535,3.8494848439599822,6.969367127973877,8.352638352638353
62,AG超玩会.6.6,4.3478260869565215,6.565762004175365,3.35822009855159,8.06250971855077,6.975546975546975
63,EDGM.浪浪,4.3478260869565215,7.171189979123174,3.8614304912647452,5.873114601150676,6.048906048906049
64,DYG.星宇,4.202898550724638,7.0354906054279756,2.3503061072121847,7.651998134038252,5.546975546975547
65,EDGM.初晨,4.202898550724638,7.881002087682672,5.9907421233388085,6.294510962525268,9.137709137709138
66,GK.伊恩,4.202898550724638,6.9206680584551155,1.7679558011049723,8.056289846058156,5.444015444015444
67,RNGM.凉晨,4.202898550724638,6.8893528183716075,3.577721367776616,8.381278183797232,7.104247104247104
68,TES.迷神,4.057971014492753,6.106471816283925,3.9435568164849935,6.673923184574716,8.416988416988417
69,RNGM.雨雨,4.057971014492753,5.22964509394572,4.119755114230252,5.9275384854610484,8.339768339768339
70,VG.易瞳,4.057971014492753,5.835073068893529,3.494101836643273,6.6521536308505675,8.262548262548263
71,RNGM.Zero,4.057971014492753,7.223382045929019,2.1352844557264445,7.874358575649199,5.096525096525096
72,TTG.XQ.晨羽,4.057971014492753,5.814196242171191,3.6628341048230553,7.832374436324056,7.683397683397684
